text,community_id,community_name,perplexity,cleaned_text
"why do we only see people of color , trans people , and disabled people in fatspo but not thinspo",0,Eating Disorder,4.429237984519662,"why do we only see people of color , trans people , and disabled people in fatspo but not thinspo"
5 ways your body benefits from asparagus,4,Healthy lifestyle and Weight Loss,6.037743655825491,5 ways your body benefits from asparagus
step out of your comfort zone .,4,Healthy lifestyle and Weight Loss,2.895264672296824,step out of your comfort zone .
im going on a 2 day fast and i was just wondering if anyone has any tips !,0,Eating Disorder,2.80815909202412,im going on a 2 day fast and i was just wondering if anyone has any tips !
why is it that people will ask what did you take instead of what did you do when they see someones weightloss transformation,11,Spam,5.077831105778344,why is it that people will ask what did you take instead of what did you do when they see someones weightloss transformation
"tag handler , what our tag for tomorrow abeg ? nothing concern me with bbtitans hassmates . i ca n't relate with them abeg abeg . they need spedy weightloss to reduce phyna x africa choice awards fierce phyna",14,Spam,455.6060498624269,"tag handler , what our tag for tomorrow abeg ? nothing concern me with bbtitans hassmates . i ca n't relate with them abeg abeg . they need spedy weightloss to reduce phyna x africa choice awards fierce phyna"
"yep , that dose of ozempic on saturday had a lasting effect on my blood sugar .",19,Weight Loss Drugs,34.12134296370424,"yep , that dose of ozempic on saturday had a lasting effect on my blood sugar ."
"green propolis can be used in a ketogenic diet , as it does not contain large amounts of carbohydrates it is recommended to consult a health professional before starting any diet or supplementation .",19,Weight Loss Drugs,34.1836119173314,"green propolis can be used in a ketogenic diet , as it does not contain large amounts of carbohydrates it is recommended to consult a health professional before starting any diet or supplementation ."
"my go-to whenever i dont feel like cooking . cramble some eggs , cook bacon and serve with some mayo !",1,Keto and Diet,13.673635453573912,"my go-to whenever i dont feel like cooking . cramble some eggs , cook bacon and serve with some mayo !"
i just saw someone say why is edtwt obsessed with pear shaped bodies and as someone with a pear shaped body i feel rly attacked,0,Eating Disorder,4.448580663919695,i just saw someone say why is edtwt obsessed with pear shaped bodies and as someone with a pear shaped body i feel rly attacked
"happy christmas from european capital of christmas markets and celebrations vienna . after eating our breakfast in the hotel we can happily say that this is a carnivore and keto friendly country . furthermore , low-carbers are in paradise if they visit austria .",1,Keto and Diet,23.20373496592609,"happy christmas from european capital of christmas markets and celebrations vienna . after eating our breakfast in the hotel we can happily say that this is a carnivore and keto friendly country . furthermore , low-carbers are in paradise if they visit austria ."
sometimes we consume more calories than we think . eat before an event and stop eating for the sake of it .,4,Healthy lifestyle and Weight Loss,2.3278083731531263,sometimes we consume more calories than we think . eat before an event and stop eating for the sake of it .
put your hand up if you want a glass of wine this weekend its low carb and keto friendly of course . . .,1,Keto and Diet,3.6447080676556745,put your hand up if you want a glass of wine this weekend its low carb and keto friendly of course . . .
| video footage from when was on l & ; hhny resurfaces & ; she had a few words for women who get surgery `` the only way to change your self esteem is if you go to therapy . '',2,Anti Eating Disorder,56.03266287155668,| video footage from when was on l & ; hhny resurfaces & ; she had a few words for women who get surgery `` the only way to change your self esteem is if you go to therapy . ''
"thats what matters heyi , bryan and phyna fans can fight its ok phyna x spedy weightloss congratulations phyna",14,Spam,194.5070894223041,"thats what matters heyi , bryan and phyna fans can fight its ok phyna x spedy weightloss congratulations phyna"
need some inspiration to get back on track with your weight loss journey ? click here to find out how to reach your goals,4,Healthy lifestyle and Weight Loss,1.5226358511724172,need some inspiration to get back on track with your weight loss journey ? click here to find out how to reach your goals
"if you 're like most people , you probably made some resolutions for the new year . maybe you want to eat healthier , get more exercise , or spend more time with family and",4,Healthy lifestyle and Weight Loss,5.4522903506672415,"if you 're like most people , you probably made some resolutions for the new year . maybe you want to eat healthier , get more exercise , or spend more time with family and"
first attempt at a keto friendly double cheeseburger with my new waffle maker . the bottom was the first one so its not pretty . i definitely need to get a better quality cheese but i think it turned out pretty well !,1,Keto and Diet,17.225127256058354,first attempt at a keto friendly double cheeseburger with my new waffle maker . the bottom was the first one so its not pretty . i definitely need to get a better quality cheese but i think it turned out pretty well !
become obsessed with your life and your goals . we only have one shot at this .,4,Healthy lifestyle and Weight Loss,3.513830225900587,become obsessed with your life and your goals . we only have one shot at this .
new some pharmacists arent bothering to stock ozempic but not for the reasons you might think . reporting with,3,Weight Loss Drugs,715.270049982422,new some pharmacists arent bothering to stock ozempic but not for the reasons you might think . reporting with
my old edtwt account i was in a dark place dont judge,2,Anti Eating Disorder,9.283148094868974,my old edtwt account i was in a dark place dont judge
keto is `` low vibrations '' turned into a diet,3,Weight Loss Drugs,210.62401685291127,keto is `` low vibrations '' turned into a diet
reply and ill give you thinspo based on your layout,0,Eating Disorder,4.52218860109703,reply and ill give you thinspo based on your layout
genuine question does edtwt just spend all their time focusing on other ppls weights so they can distract themselves from wanting to kts cuz they ate a can of pringles like 7 years old,2,Anti Eating Disorder,36.156587179148616,genuine question does edtwt just spend all their time focusing on other ppls weights so they can distract themselves from wanting to kts cuz they ate a can of pringles like 7 years old
shed those extra pounds with berberine . learn the best way to use berberine for weight loss on our page !,4,Healthy lifestyle and Weight Loss,2.52698241986635,shed those extra pounds with berberine . learn the best way to use berberine for weight loss on our page !
"phyna congratulations season is fully on , another one has landed phyna x spedy weightloss",14,Spam,156.13108682264044,"phyna congratulations season is fully on , another one has landed phyna x spedy weightloss"
heal the root cause of all diseases visit link in bio,4,Healthy lifestyle and Weight Loss,5.150446255311741,heal the root cause of all diseases visit link in bio
ready to start your weight loss journey ? click the link to get started !,4,Healthy lifestyle and Weight Loss,1.5948449363233352,ready to start your weight loss journey ? click the link to get started !
oj nie nic mnie tak nie wkurwia jak gadanie ze shtwt i edtwt nie robia nikomu krzywdy i trzeba to zostawic w spokoju po prostu,2,Anti Eating Disorder,4888.980861293874,oj nie nic mnie tak nie wkurwia jak gadanie ze shtwt i edtwt nie robia nikomu krzywdy i trzeba to zostawic w spokoju po prostu
in 2022 the mental health keto blog helped over 9k visitors learn more about how keto can rescue mood and cognitive function .,1,Keto and Diet,22.20301694570253,in 2022 the mental health keto blog helped over 9k visitors learn more about how keto can rescue mood and cognitive function .
art hoes and edtwt girls are,3,Weight Loss Drugs,828.9192518085129,art hoes and edtwt girls are
"eggs , broccoli , onion , olive oil , almonds and macadamia my favorite breakfast whats yours ?",5,Body Image,15.103198705060166,"eggs , broccoli , onion , olive oil , almonds and macadamia my favorite breakfast whats yours ?"
`` tomorrow will be the first sunrise of the rest of life make it what want . and remember that happiness is a choice . '' bye welcome !,5,Body Image,18.456142109928525,`` tomorrow will be the first sunrise of the rest of life make it what want . and remember that happiness is a choice . '' bye welcome !
who be this brother way dy carry our girl go where she no know we dy back shop spedy weightloss rixari skin secrets x phyna,14,Spam,752.6301900233266,who be this brother way dy carry our girl go where she no know we dy back shop spedy weightloss rixari skin secrets x phyna
kyle richards shares how she achieved recent weight loss 1 week after denying using ozempic,3,Weight Loss Drugs,269.0266292323216,kyle richards shares how she achieved recent weight loss 1 week after denying using ozempic
"we party , we hype , we beat drum and chop vegetables , that why we have a glowing skin shop spedy weightloss rixari skin secret x phyna",14,Spam,200.9497665238369,"we party , we hype , we beat drum and chop vegetables , that why we have a glowing skin shop spedy weightloss rixari skin secret x phyna"
"amazon deal found nutiva organic steam-refined coconut oil , 15 fluid ounce , usda organic , non-gmo , vegan , keto , paleo , neutral flavor and aroma for cooking & ; natural moisturizer for skin and hair price $ 4.49",3,Weight Loss Drugs,222.8765694338446,"amazon deal found nutiva organic steam-refined coconut oil , 15 fluid ounce , usda organic , non-gmo , vegan , keto , paleo , neutral flavor and aroma for cooking & ; natural moisturizer for skin and hair price $ 4.49"
i tried on a skirt i got b4 school started and it was a bit small on me ( ( (,7,Eating Disorder,4.647830074502752,i tried on a skirt i got b4 school started and it was a bit small on me ( ( (
"if youre looking for an ally on your journey toward better health , give us a call and let start working on .",3,Weight Loss Drugs,10.560181768888343,"if youre looking for an ally on your journey toward better health , give us a call and let start working on ."
"notre dernier article ozempic ( semaglutide ) et mounjaro ( tirzepatide ) , une grande avance pour le traitement de lobsit ( avec des cots normes )",6,Weight Loss Drugs,2095.340422677429,"notre dernier article ozempic ( semaglutide ) et mounjaro ( tirzepatide ) , une grande avance pour le traitement de lobsit ( avec des cots normes )"
a healthy eating plan gives your body the nutrients it needs every day for weight loss . for more information visit,4,Healthy lifestyle and Weight Loss,1.7088639570557091,a healthy eating plan gives your body the nutrients it needs every day for weight loss . for more information visit
"my body is n't perfect but i quite like this pic , although i am ( as usual ) holding myself in a bit . xx",10,Body Image,8.786448103201753,"my body is n't perfect but i quite like this pic , although i am ( as usual ) holding myself in a bit . xx"
why are yall blaming fat folks for taking ozempic when fatphobia is all they hear from the world and its whole ass doctors writing the rx . seems youre blaming the victim . get in the basket .,3,Weight Loss Drugs,129.8326810697928,why are yall blaming fat folks for taking ozempic when fatphobia is all they hear from the world and its whole ass doctors writing the rx . seems youre blaming the victim . get in the basket .
send me thinspo that i can use as my homescreen for motivation,0,Eating Disorder,4.8970070621767565,send me thinspo that i can use as my homescreen for motivation
looking for a high protein meal ? this fish recipe is a must for your health and nutrition diet plan !,4,Healthy lifestyle and Weight Loss,4.887914539426558,looking for a high protein meal ? this fish recipe is a must for your health and nutrition diet plan !
the true facts of pig meat that the pork industry doesnt want you to see or know about .,19,Weight Loss Drugs,6.478959139833368,the true facts of pig meat that the pork industry doesnt want you to see or know about .
"dolly parton declares she 'more the cake , cookie , and cornbread type ' after fake keto and gummy ads featuring the country music icon circulate on social media",3,Weight Loss Drugs,188.96262325238564,"dolly parton declares she 'more the cake , cookie , and cornbread type ' after fake keto and gummy ads featuring the country music icon circulate on social media"
we all have been brainwashed it works,1,Keto and Diet,13.545935364960854,we all have been brainwashed it works
learn how to make this super delicious chicken quesadilla low carb and high protein,1,Keto and Diet,6.601833904929164,learn how to make this super delicious chicken quesadilla low carb and high protein
breakfast of champions,4,Healthy lifestyle and Weight Loss,3.3074677803990227,breakfast of champions
there are many benefits to getting daily sun exposure . dont forget to get outside & ; soak in the sun today !,4,Healthy lifestyle and Weight Loss,4.555431050082939,there are many benefits to getting daily sun exposure . dont forget to get outside & ; soak in the sun today !
scrolling through edtwt+ listening to music =,2,Anti Eating Disorder,1126.3530745519492,scrolling through edtwt+ listening to music =
she was bones and a good cough or sneeze from snapping in two . she looks far healthier now . `` edtwt '' my ass go outside,2,Anti Eating Disorder,91.92101992786117,she was bones and a good cough or sneeze from snapping in two . she looks far healthier now . `` edtwt '' my ass go outside
my main motivation is that no one has noticed my weightloss except for my sister and mom,0,Eating Disorder,3.247749928732051,my main motivation is that no one has noticed my weightloss except for my sister and mom
indulge in hearty meals by trying out these 6 tasty keto chicken stew recipes that you can share with friends and family . get the recipes,1,Keto and Diet,5.140619131699141,indulge in hearty meals by trying out these 6 tasty keto chicken stew recipes that you can share with friends and family . get the recipes
which diet is better for me keto or mediterranean ?,3,Weight Loss Drugs,30.240754247697,which diet is better for me keto or mediterranean ?
im gon na start being more active on here . im always on edtwt but i never post,0,Eating Disorder,4.991662247147034,im gon na start being more active on here . im always on edtwt but i never post
"remember that health and weight loss are about so much more than just appearance . focus on how you feel , the energy you have , and the positive impact you 're making on your body and mind .",4,Healthy lifestyle and Weight Loss,4.922698408036715,"remember that health and weight loss are about so much more than just appearance . focus on how you feel , the energy you have , and the positive impact you 're making on your body and mind ."
gosh such a proud stan .. my girls are wining phy just signed a deal .. then boom indi too congrats girls phyna x spedy weightloss congratulations phyna,14,Spam,717.5359247250822,gosh such a proud stan .. my girls are wining phy just signed a deal .. then boom indi too congrats girls phyna x spedy weightloss congratulations phyna
chili lime keto sheet pan shrimp calling all shrimp lovers ! these fiery and robust chili lime keto sheet pan shrimp are going to be your new go-to keto shrimp recipe . pin it get the recipe,1,Keto and Diet,6.189827954309704,chili lime keto sheet pan shrimp calling all shrimp lovers ! these fiery and robust chili lime keto sheet pan shrimp are going to be your new go-to keto shrimp recipe . pin it get the recipe
small changes can make a big difference in your health . start by replacing one unhealthy habit with a healthy one .,4,Healthy lifestyle and Weight Loss,2.432714924975024,small changes can make a big difference in your health . start by replacing one unhealthy habit with a healthy one .
everyday is a step closer to my goals,4,Healthy lifestyle and Weight Loss,3.251631759191054,everyday is a step closer to my goals
its always you edtwt freaks and proshippers istfg,2,Anti Eating Disorder,1156.0753400979324,its always you edtwt freaks and proshippers istfg
will never do a face reveal on edtwt . no matter how pretty i think i look itll never be enough,0,Eating Disorder,4.578898105546663,will never do a face reveal on edtwt . no matter how pretty i think i look itll never be enough
custom keto diet ( get your custom keto diet plan | lose weight ),4,Healthy lifestyle and Weight Loss,3.80923211058036,custom keto diet ( get your custom keto diet plan | lose weight )
"a 1-mg dose of semaglutide ( ) weekly was better at maintaining weight than 3-mg liraglutide ( ) daily for patients who put on pounds after bariatric surgery , a retrospective study suggested at the annual meeting .",6,Weight Loss Drugs,99.24125309043626,"a 1-mg dose of semaglutide ( ) weekly was better at maintaining weight than 3-mg liraglutide ( ) daily for patients who put on pounds after bariatric surgery , a retrospective study suggested at the annual meeting ."
you are stronger than you think .,4,Healthy lifestyle and Weight Loss,2.415735754598258,you are stronger than you think .
"spending the day in i really should live in this beautiful state . yes , this pic is real !",1,Keto and Diet,13.124149916645225,"spending the day in i really should live in this beautiful state . yes , this pic is real !"
"ready to take your weight loss journey to the next level ? try the ketogenic diet ! our beginner guide covers everything you need to know to get started on this high-fat , low-carb way of eating . check out our guide today !",4,Healthy lifestyle and Weight Loss,5.632550972972592,"ready to take your weight loss journey to the next level ? try the ketogenic diet ! our beginner guide covers everything you need to know to get started on this high-fat , low-carb way of eating . check out our guide today !"
portraying chefbear .,5,Body Image,4613304.438128807,portraying chefbear .
could you use some help to lose weight ?,4,Healthy lifestyle and Weight Loss,2.913642822344722,could you use some help to lose weight ?
would your thinspo eat this would your thinspo est this would your thinspo eat this would your thinspo eat this would your thinspo eat this,7,Eating Disorder,1.650630346275617,would your thinspo eat this would your thinspo est this would your thinspo eat this would your thinspo eat this would your thinspo eat this
how to reduce breast size,4,Healthy lifestyle and Weight Loss,5.496974008082872,how to reduce breast size
"a new year , mean new goals . try these tips to get a head start in the new year .",4,Healthy lifestyle and Weight Loss,4.0593017421150766,"a new year , mean new goals . try these tips to get a head start in the new year ."
"skipping class in the bathroom , listening to music and scrolling thru edtwt & gt ; & gt ; & gt ; & gt ;",7,Eating Disorder,3.29227317183732,"skipping class in the bathroom , listening to music and scrolling thru edtwt & gt ; & gt ; & gt ; & gt ;"
people on stan twitter are more fatphobic than people on edtwt just saying !,2,Anti Eating Disorder,5.151832688643628,people on stan twitter are more fatphobic than people on edtwt just saying !
how does it feel to see an edtwt account with the same pfp as you,0,Eating Disorder,4.77766718989841,how does it feel to see an edtwt account with the same pfp as you
ik people on edtwt are always getting suspended but it feels like there are so many people being suspended than usual,0,Eating Disorder,4.112654268601531,ik people on edtwt are always getting suspended but it feels like there are so many people being suspended than usual
novo nordisk cfo says on earnings call this wk it estimates 40 % of new ozempic business in the us comes from `` naive patients who have not received their diabetes medication before . '',3,Weight Loss Drugs,452.93881241787886,novo nordisk cfo says on earnings call this wk it estimates 40 % of new ozempic business in the us comes from `` naive patients who have not received their diabetes medication before . ''
visit our facility to have your kidney function test at an affordable price . call us on 0546279470 / 0543795828,1,Keto and Diet,18.31561468966097,visit our facility to have your kidney function test at an affordable price . call us on 0546279470 / 0543795828
when i need a distraction so i do n't eat i look at thinspo but it not triggering it just entertaining to look at,0,Eating Disorder,4.453309686427998,when i need a distraction so i do n't eat i look at thinspo but it not triggering it just entertaining to look at
ten myths of weight and weightloss,6,Weight Loss Drugs,49.88192873199189,ten myths of weight and weightloss
i just need to know how these celebrities are losing so much weight on ozempic im on wegovy and gained a pound,6,Weight Loss Drugs,45.55550632578242,i just need to know how these celebrities are losing so much weight on ozempic im on wegovy and gained a pound
"be honest ! when it comes to -prone men versus men , is there really much of a choice ?",5,Body Image,21.61048191636629,"be honest ! when it comes to -prone men versus men , is there really much of a choice ?"
the vast majority of people identify emotional eating in themselveseating to soothe an emotion instead of to fuel your body or satisfy hunger . more in the dr. francavilla show podcast episode on emotional eating,6,Weight Loss Drugs,154.23949404997154,the vast majority of people identify emotional eating in themselveseating to soothe an emotion instead of to fuel your body or satisfy hunger . more in the dr. francavilla show podcast episode on emotional eating
first gym day after thanksgiving . pull day went well . now to get back on keto . so thankful for . she is a wonderful person and such an inspiration .,1,Keto and Diet,27.24506518256917,first gym day after thanksgiving . pull day went well . now to get back on keto . so thankful for . she is a wonderful person and such an inspiration .
"in america we have the most abundant supply and choices of foods to eat , and the most diets to keep us from eating it .",4,Healthy lifestyle and Weight Loss,6.745052696847733,"in america we have the most abundant supply and choices of foods to eat , and the most diets to keep us from eating it ."
espero q todos do edtwt que tao falando mal do corpo da triz smt,2,Anti Eating Disorder,239.80473242014628,espero q todos do edtwt que tao falando mal do corpo da triz smt
duotrim,6,Weight Loss Drugs,18897414.56271268,duotrim
why is vitamin d so important and how much should you take ?,6,Weight Loss Drugs,2.6343184006469134,why is vitamin d so important and how much should you take ?
2023 goals have my head held against a sweaty girls midriff while i clean her with my tongue,12,Spam,36.462300101722505,2023 goals have my head held against a sweaty girls midriff while i clean her with my tongue
10/10,5,Body Image,894.353057802029,10/10
"im going to try to fast tomorrow , wish me luck ! !",0,Eating Disorder,3.274414092910121,"im going to try to fast tomorrow , wish me luck ! !"
im bored its time to scroll thru edtwt for 10 minutes and bookmark every other i see just to read half of it and never look at it again,0,Eating Disorder,4.681841950201115,im bored its time to scroll thru edtwt for 10 minutes and bookmark every other i see just to read half of it and never look at it again
check out this amazing weight loss program that helped me get fit and feel healthier !,4,Healthy lifestyle and Weight Loss,3.454534895140153,check out this amazing weight loss program that helped me get fit and feel healthier !
"these healthy homemade sloppy joes are dairy free , and keto friendly . my keto sloppy joes recipe originally appeared in my instant pot cookbook but im sharing it here for you adapted for the stovetop ! pin it get the recipe",1,Keto and Diet,11.611612171509686,"these healthy homemade sloppy joes are dairy free , and keto friendly . my keto sloppy joes recipe originally appeared in my instant pot cookbook but im sharing it here for you adapted for the stovetop ! pin it get the recipe"
"friday , chilln in the kitchen .",5,Body Image,1017.9334306502476,"friday , chilln in the kitchen ."
"me on keto , trying to figure out what other sauces i can drown my baked chicken thighs in",3,Weight Loss Drugs,9.158205272219966,"me on keto , trying to figure out what other sauces i can drown my baked chicken thighs in"
i just ate and now i feel disgusting .. do i go for a walk ? ? its cold tho,7,Eating Disorder,3.2958585851640776,i just ate and now i feel disgusting .. do i go for a walk ? ? its cold tho
i know its edtwt but it always breaks my heart when i see my friends get worse and i cant do anything ab it,0,Eating Disorder,4.551431376455792,i know its edtwt but it always breaks my heart when i see my friends get worse and i cant do anything ab it
`` time & ; are 2 precious assets we do n't recognize & ; appreciate until they 've been depleted . '',4,Healthy lifestyle and Weight Loss,5.211171933246031,`` time & ; are 2 precious assets we do n't recognize & ; appreciate until they 've been depleted . ''
i just received a gift from theonlyzae throne gifts keto gummy bears low sugar mixed fruit keto gummies ( 1g ) healthy keto gummies 16 individual packs of gummy bear . thank you !,3,Weight Loss Drugs,92.93810797664212,i just received a gift from theonlyzae throne gifts keto gummy bears low sugar mixed fruit keto gummies ( 1g ) healthy keto gummies 16 individual packs of gummy bear . thank you !
i really have to get off edtwt and start studying for my physics test,0,Eating Disorder,5.239555255998329,i really have to get off edtwt and start studying for my physics test
"do you have a green thumb ? know your basil from your mint , when the tomatoes go in , and how to keep a maidenhair alive indoors ? make sure that keeping yourself safe is part of your gardening expertise . here how",19,Weight Loss Drugs,40.707426100669096,"do you have a green thumb ? know your basil from your mint , when the tomatoes go in , and how to keep a maidenhair alive indoors ? make sure that keeping yourself safe is part of your gardening expertise . here how"
"tells your body to burn more calories , fires up fat loss and helps you slay your health and fitness goals . on purchase of 3 supplies of 3 months + 2 months free . click and learn more .",1,Keto and Diet,24.09722045022387,"tells your body to burn more calories , fires up fat loss and helps you slay your health and fitness goals . on purchase of 3 supplies of 3 months + 2 months free . click and learn more ."
being part of is pretty high on my list of worst fucking hobbies imaginable . its up there with collecting radioactive materials and participating in obese furry fart roleplay,2,Anti Eating Disorder,56.198411057077614,being part of is pretty high on my list of worst fucking hobbies imaginable . its up there with collecting radioactive materials and participating in obese furry fart roleplay
how about a soft and chewy cookie ?,4,Healthy lifestyle and Weight Loss,4.93529911047266,how about a soft and chewy cookie ?
"never worked so hard for anything like i have for weightloss . its been a big year , but 2023 is my year",1,Keto and Diet,3.758994096318483,"never worked so hard for anything like i have for weightloss . its been a big year , but 2023 is my year"
"glad to see this the new york times article by about `` what new weight loss drugs teach us about fat and free will '' , which succinctly paints the picture for readers about the spectrum of eating behavior and obesity ,",6,Weight Loss Drugs,94.51249407701197,"glad to see this the new york times article by about `` what new weight loss drugs teach us about fat and free will '' , which succinctly paints the picture for readers about the spectrum of eating behavior and obesity ,"
"it the controversial 'diet drug ' that becoming all the rage for those wanting to lose weight . experts say ozempic should be researched thoroughly , before being considered .",3,Weight Loss Drugs,90.66621311304108,"it the controversial 'diet drug ' that becoming all the rage for those wanting to lose weight . experts say ozempic should be researched thoroughly , before being considered ."
monday pro tip grab a poke bowl with nacho chips and get your crunch on . . . . . .,1,Keto and Diet,8.75307192364223,monday pro tip grab a poke bowl with nacho chips and get your crunch on . . . . . .
new series with !,5,Body Image,8174.57929901452,new series with !
"affirmation you are worthy of , & ; . i treat myself & ; everyone i meet with love & ;",4,Healthy lifestyle and Weight Loss,6.603486686309476,"affirmation you are worthy of , & ; . i treat myself & ; everyone i meet with love & ;"
millions of tourists travel to the black hills of south dakota each year and many do n't have the opportunity to see all the great features the area offers . having a sense of the area before making your trip can enlighten prospective travelers about the,1,Keto and Diet,15.286295105320088,millions of tourists travel to the black hills of south dakota each year and many do n't have the opportunity to see all the great features the area offers . having a sense of the area before making your trip can enlighten prospective travelers about the
this is keto right,3,Weight Loss Drugs,319.32239461719433,this is keto right
